"english","darija"
"They have a special exihibition at the moment on Vincent Van Gogh.","3ndhom wa7d l3arD khaSS daba 3la Vincent Van Gogh."
"Or you could visit the cathedral.","wla ymken lik tzoud lkanissa."
"Where the art and the cathedral are located.","fine kayn lm3riD o lkanissa."
"Is it far from here?","wach b3id men hna?"
"The art gallery is just a hundred metres from the cafe.","lm3riD b3id b miyat mitro 3la l9hwa."
"Turn left and you will find it.","Dour 3la liSr o ghadi tl9ah."
"The cathedral is a bit further.","lkanissa b3d chwia."
"All right.","wakha."
"What do you put in it?","achno derti fih?"
"It's a special recipe.","hadi waSfa khaSSa."
"I'm not allowed to say!","ma3ndich l7e9 ngoul!"
"Can I get you something else instead?","bghiti njib chi 7aja khra blaStha?"
"No, thanks.","lla, chokran."
"Do you have any other special recipes here?","wach 3ndkom chi wSfat khaSSin w7din khrin hna?"
"Otherwise, I'd like a little sugar and a straw for my orange juice.","men ghir hadchi, bghit chwia dial skar o chi ppay l 3aSir dial limoun."
"No other special recipes.Only coffee English style.","makayn ta wSfa khaSSa khra. ghir l9hwa b style dial ngliz."
"Would you like to sit at a table and i will bring your orange juice over to you?","tbghi tguless f chi Tbla o njib lik l3aSir dial limoun?"
"Yes, thank you.","ayeh, chokran."
"Right I'll do that and then I need to serve the customer who has just come in.","Safi dakchi li ghadi ndir o men b3d ghadi ykhSni nmchi nserbi l klian li yallah ja daba."
"I hope you enjoy the orange juice and get to see the art gallery.","ntmenna y3jbek l3aSir dial limoun o tmchi tchouf lm3riD lfenni."
"Hello my dear, it's been a while!","salam 7bibi, ghbourate hadi!"
"Oh, how nice of you to come to me!","oh, chokran bezzaf 7it jiti 3ndi!"
"It's true, it's been a long time.","bessa7, w9t twil hada."
"How are you?","chkon nta?"
"You look great!","rak mnouwer!"
"I don't feel so great though sadly.","makan7esch brassi bikhir lil assaf."
"I am not as young as I used to be","mab9itch chab kif kent ch7al hada"
"I feel like I'm starting to fall apart a bit","kan7ess brassi bdit kan9ej9el chwia."
"Do you know what I mean?","3refti ach kan9Sd?"
"Oh, yes, I can see that.","ayeeh, ban lia hadchi."
"You could move in here, in that retirement home, wouldn't you?","ymken lik t77ouwel hna, l had dar l3ajaza, wla lla?"
"You think you'd like it?","kaDDen ghadi t3jbek?"
"There's plenty of activities, and the staff is very nice.","kaynin bezzaf dial l anshiTa, o nnass li kheddamin hna driyfine."
"Especially Amina, she's my favorite.","khoSoSan Amina, hia li 3ziza 3lia."
"Oh yes, I met Amina on my way in, she did seem very nice","ayeeh, tla9it m3a Amina fach kent jay, katban llah y3emmerha dar"
"Maybe I should look into it","daba nfekker f hadchi"
"I still like having my independence though","mazal 3ajbni nkon msta9el Sara7a"
"And my son Jilali still helps out as much as he can","o wldi jjilali mazal kay3awenni b jehdo kaml"
"Do you remember Jilali?","t39el 3la jjilali?"
"Of course, I still have my head, you know!","b Tabi3t l7al, rani mazal chad f rassi!"
"But it must take him some time, to take care of you.","walakin aykon kaydi lih lw9t bezzaf, bach y9ablek."
"And here, there's everything you need!","o hna, kayn ga3 dakchi li m7taj!"
"You see movies, you participate in games, there's a library...","katferej fl aflam, katchark fl al3ab, o kayna mktaba..."
"And meals are pretty good.","o lmakla hna meziana."
"But you know me, I'm demanding on the kitchen!","walakin rak 3arfni, kantcherreT bezzaf fl makla!"
"Oh yes, I remember that!","ayeh, 3a9l 3la hadchi!"
"You always were!","men dima o nta hakka!"
"What is your favourite meal that they make?","achnahia l makla lmofeDala dialk li kaySaybo?"
"Or should I say that you make them make!","wla khaSni ngoul lli katfreD 3lihom ySaybo lik!"
"Chicken Tajine with potato and olives.","Tajine dial bTaTa o zzitoun."
"It's hard to cook the chiken, especially when you make a lot of people for a lot of people, but here, the cook can do very well!","S3ib Tiyeb djaj, khoSoSan ila kenti kaTiyeb kimmia ktira l bezzaf dial nass, walakin hna, TTebakh kayt9en chghlo!"
"Oh that does sound good, and quite fancy for a retirement home","Oh hadchi kayferre7, o mberre3 b nisba l dar l3ajaza"
"I had thought it would all be bowls of watery soup and dry crackers!","kan kay7sab lia wach ghadi y3Tiwna ghir Sobba o lkhobz 9as7!"
"And you know how much I like butter and cheese and tasty foods","o rak 3arf ch7al 3ziza 3lia zzebda o lformaj o lmakla lbnina"
"Yes!","ayeh!"
"My neighbor Kamal only eats bowls of soup, that's true.","jari kamal kayakkol ghir Sobba, hadi kayna."
"But that's because he has no teeth, the poor old.","walakin rah 7it ma3ndo snan, mskin."
"I've got almost all my teeth, I'm lucky!","mazal 3ndi snani kamlin t9riban, hamdollah!"
"Do you want to go to the living room for a cup of tea?","bghiti tmchi l Salon ncherbo chi kass dial atay?"
"I have always admired your full set of teeth","men dima wana kay3jboni snank"
"Especially at our ages!","khoSoSan fl3mer dialk!"
"What a good idea","fikra zina hadi"
"Let's go have some tea","yallah nemchiw ncherbo atay"
"Beautiful.","jmil."
"Plus, they have good cakes.","o men lfo9, 3ndhom kikat ldad."
"And it's free!","o fabor!"
"I mean, given what it costs me every month, luckily it's free.","kan9Sd, ila chefna ch7al kankheleS kolla chher, hamdollah annahom fabor."
"As soon as I get up, let's go!","ghir nnod, nmchiw!"
"I can give Amina a shout to get the chair","ymken n3iyet 3la Amina bach tjib lkorsi"
"It's been 15 minutes since I've seen her, I miss her!","chi 15 l da9i9a hadi bach cheftha, twe7echtha!"
"Oh wow you really do like Amina a lot!","Oh wow 3ziza 3lik had Amina bezzaf!"
"I think she might be a bit too young for you","kanDen raha Sghira 3lik chwia"
"I'm allowed to dream, don't I?","men 7e9i n7lem, wla lla?"
"Plus I thought you had secretly always loved me...","o men fog hadchi kan kay7sab lia wach katbghini f ssir..."
"It's a secret!","hada sir!"
"You're not supposed to know!","makhaSSkch t3erfi!"
"But I have always known","walakin rani 3arfa men dima"
"You have always been there, through my 5 previous failed marriages","rah kenti dima 7aDra, f 5 dial tjwijat diali lli maSd9ouch"
"You were always there to pick up the pieces","kenti dima 7adra bach t9aDDi l omor"
"I always thought there would be more time","dima kent kangoul rah ghadi ykon lw9t kter"
"And that our time together would come when we were still young enough to enjoy it","o ghadi yji w9tna fach kenna mazal sghar bach ntber3o bih"
"I always thought the idea of growing old together sounded romantic","dima kant katjini lfikra dial ncherfo bjouj romansia"
"But the reality is bit less romantic - it's mostly deafness, forgetfulness, and aches and pains.","walakin l7a9i9a a9al romansia - fiha tsmak, nesyan, o Sda3 o l alam."
"But it would be nice to do experience those things with someone else","walakin atkon zina annak t3ich hadchi m3a chi chakhS aakhar"
"Here's Amina.","hahia Amina."
"Let's go to tea!","yallah nmchiw ncherbo atay!"
"We could get cake!","ymken ncheddo kika!"
"Lots of it!","bezzaaaf menha!"
"Are you going to invite a lot of people?","wach ghadi t3rD 3la bezzaf dial nnass?"
"Well, the thing is, the more people there are, the less cake there’ll be for us!","lmohim, l9aDia hia, ch7al ma kano nnass ktar, ch7al mma atkon lkika 9lila 3ndna!"
"That's not a very religious idea!","hadi fikra machi dinia!"
"Unless we ask them to bring some with them.","ma3ada ila guelna lihom yjibo chwia m3ahom."
"I know but it’s my party so I decide!","3reft walakin hadi l7efla diali idan ana lli ghadi n9errer!"
"Yeah, you could eat a cake all by yourself in your corner!","ayeh, t9der takol l7lwa kamla bou7dek fl 9niyet dialk!"
"Oh no, that’s not very fun!","Oh lla, hadchi machi momti3!"
"What do you suggest then?","achno kat9tare7 idan?"
"You have to invite a lot of people and prepare a lot of cake for the party to be good.","khaSSk t3rD 3la bezzaf dial nass o tsayb bezzaf dial l7lwa bach tkon bikhir."
"By the way, I hope you didn't invite Rachid.","fekkertini, kantmenna matkonch 3rDti 3la Rachid."
"Oh... who should I invite?","Oh... o 3lamen khaSSni n3rD?"
"I don’t have many friends except Rachid...","ma3ndich bezzaf dial l aSdi9a2 men ghir Rachid..."
"I'm warning you, it's Rachid or me.","hani kan3lmek, imma Rachid imma ana."
"Ok ok... then you can do the guest list.","wakha wakha... dir nta ga3 lla2i7a dial lm3roDin."
"I’ll buy the decorations!","ghadi nchri decorassioun!"
"I thought I'd invite Rachida, you know her.","guelt n3rD 3la Rachida, kat3erfiha."
"Ok, if you want.","ayeh, ila bghiti."
"But only if she doesn’t bring her dog with her.","walakin ghir ila makantch atjib m3aha lkelb dialha."
"I can’t stand the things!","makan9derch nsber l dakchi!"
"You know without her dog she won't come","rak 3arf mat9derch tji bla kelbha"
"Ok but it’ll have to stay outside.","wakha walakin tkhellih berra."
"I don’t want it messing up the new carpet!","mabghitoch ykhesser lia zzerbia jjdida!"
"We'll put it on the balcony, hopefully it'll jump!","ndiroh fl balcon, 3ellah yne99ez!"
"That’s horrible!","hadchi khayb!"
"No more horrible than Rex","machi khyeb men Rex"
"Do you not have lots of pets at home?","3lah ma3ndkch l7ayawanat l alifa f ddar?"
"I thought you did...","kan kay7sab lia 3ndek..."
"Take the basket.","khoud ssella."
"I'll grab the rabbit!","ghadi nched l9nia!"
"You did say you liked rabbits, didn't you?","guelti 3ziz 3lik 9niat, wla lla?"
"I'll take the basket if it's full!","ghadi nakhd ssella ila kant 3amra!"
"Almost.","t9riban."
"But there's still some space for some more berries if you like.","walakin mazal chwia dial lblaSSa l chi chwia dial ttout ila bghiti."
"With pleasure, I like berries very much.","mer7ba, 3ziz 3lia ttout bezzaf."
"More than rabbits!","kter men 9nia!"
"But we should probably be heading back soon.","walakin khSna flghalib nrj3o f7alna."
"It's getting dark.","bda kayTi7 Dlam."
"Yes, it is.","ayeh, kayna."
"Especially since we don't have a tent to shelter us","khoSoSan 7it ma3ndnach khima lli ghadi t7mina"
"And it's getting a little cold.","o bda kaybred l7al chwia."
"Do you want a scarf?","wach bghiti foular?"
"I always bring several with me just in case.","dima kanjib m3aya bezzaf ma3rfti lw9t achno tjib."
"And a couple of hats.","o chi chwia dial Trabch."
"Ooh I even have some gloves!","Ooh o 3ndi 7ta chi Sebba3at!"
"I'm not saying no for the scarf, because I'm really cold.","mangoulikch lla 3la lfoular, 7it rah nit fia lberd."
"Besides, I have a big cold, so I'd better cover for myself.","o men fo9 hadchi, Darbni lberd bezzaf, idan 7sen lia ngheTTi rassi."
"I'll warm myself with your scarf!","ghadi nsekhen rassi bl foular dialk!"
"Here you go!","hak!"
"And I might even have some biscuits...","o n9Der nakhd chi bimo..."
"Wait a sec","tsenna wa7d ttania"
"No, sorry.","lla, sme7 lia."
"There are none left.","mab9a walo."
"Great.","ya salam."
"Ah, too bad.","Ah, lil assaf."
"But I think I see a Thermos in the back of the basket.","walakin ymken bant lia chi Tirmos f llour dial ssella."
"Is it full?","wach 3amra?"
"Is it hot?","wach skhouna?"
"There's hot water in it!","fiha lma sskhoun!"
"And I had tea bags!","o 3ndi atay!"
"We can make a little tea to warm up!","ndiro chi kwiyess dial atay nskhno bih!"
"And we could add some berries to give it some more flavour too!","o n9dro nzido chwia dial ttout bach nzido lmada9!"
"And I've decided to go all by myself to get away from it all.","o 9errert nmchi bou7di bach nbe33ed 3la kolchi."
"Do you fly often?","wach katrkeb f ttiyara bezzaf?"
"Every week.","kolla simana."
"My company is bi-located.","charika diali kayna f jouj blayS."
"You'll see, it's very nice once we're up here.","hanta ghadi tchouf, lmenDer zwin fach ghadi nTl3o."
"Do you really think so?","wach kaDen hadchi bessa7?"
"I'm scared looking out of my second-floor window at home!","kankhaf nchouf men cherjem diali f TTb9a tania f ddar!"
"I've never liked heights, and we're going to be very high up!","ma3mrni 3jbni l3lou, o ghadi nTl3o lfo9 bezzaf!"
"The clouds, from above, it's like a sea of cotton.","s7ab, men lfo9, b7al chi b7er dial l9Ten."
"And the light is absolutely splendid.","o ddo ra2i3 bezzaf."
"I can't see the light.","makaybanch lia DDo."
"I've got my eyes closed.","rani mghemmeD 3inia."
"I don't like it.","ma3jbnich."
"Everything's starting to move!","kolchi bda kayt7errek!"
"They'll be stopping by with the soda soon.","ghadi yjiw o yjibo lmonaDa men daba chwia."
"You should ask for a glass of cola.","khass takhd chi kass dial koka."
"You wouldn't mind paying for me, would you?","machi mochkil 3ndek tkheleS 3lia, yak?"
"I can't really find my purse with my eyes closed...","maymkench lia nl9a bzTami b 3inia msdoudine..."
"I can see your bag.","ana kanchouf Sak dialk."
"I'm just gonna take your credit card and pay for both of us and our next-door neighbor if you don't mind.","ghadi nakhd la carte bancaire dialk o nkhelleS 3lina bjouj o 3la jarna ila ma3ndkch mochkil."
"What's the code for your credit card?","achnahowa l code dial la carte bancaire dialk?"
"No!","lla!"
"Don't do that!","maddirch hadchi!"
"That's another reason I don't like flying!","kayn wa7d sabab akhor 3lach makan7mlch nrkb f Tiyara!"
"You can never trust people in confined spaces!","maymkench lik tti9 f nnass fl blayss lmsdoudin!"
"But why do you talk to me?","o 3lach kathder m3aya?"
"I didn't have much choice, did I?","makanch 3ndi lkhtiyar, wla lla?"
"But, whilst you're here, could you go get me a glass of water perhaps?","walakin, ma7eddek hna, t9der tmchi tjib lia kass dial lma?"
"And I might just forget what you just said about my credit card.","o n9der nsa hadchi li yallah guelti 3la l carte bancaire diali."
"I'll get the stewardess out here.","ghadi n3iyet l moDifa hnaya."
"She'll bring you a glass of water.","ghadi tjib lik kass dial lma."
"Just relax.","ghir rta7."
"Everything's gonna be okay,","kolchi ghadi ykon mezian,"
"And there's always movies to change your mind.","o kayn dima aflam bach tbeddel ljow."
"It's been a while since we've been in the air.","ch7al hada o 7na f sma."
"We'll be there in five minutes.","ghadi nkono temma men daba khmsa dial d9ay9."
"You almost finished your first flight!","rak 9rib tsali awal tsafira lik f TTiyara!"
"Thank you so much.","chokran bezzaf."
"And thank you for the chocolate I took out of your bag whilst you weren't looking.","o chokran 3la choklaT lli khdit lik men SSac fach makentich katchouf."
"It was absolutely delicious.","kan dakchi ldid bezzaf."
"Flying isn't so bad!","TTayaran makhaybch bezzaf!"
"It was chocolate laxative!","rah kan chokolat kaydir shal!"
"You haven't eaten it, have you?","maklitihch, yak?"
"I think I'm gonna have to switch places...","kayban lia ghadi ykhSni ndeddel lblaSa..."
"It's a shame I've got the aisle seat.","lil 2assaf kan 3ndi lkorsi li f l couloir."
"Well.... Good morning, Doctor.","iwa.... sba7 lkhir, doctor."
"Good morning.","sba7 lkhir."
"How are you feeling today?","ki kat7ess lyouma?"
"Great--I did it!","bikhir--dertha!"
"I left him!","tfre9t m3ah!"
"You finally split up with your boyfriend?","tfar9ti akhiran m3a sa7bek?"
"And how are you feeling?","o ki kat7essi?"
"Free?","7orra?"
"Relieved?","mrta7a?"
"My 'friend' hahahaha"," 'sa7bi' hahahaha"
"He was my husband, but my friend?","kan rajli, walakin sa7bi?"
"You know, he thought I didn't know what him and Maryam were doing when they said they were playing handball...","3refti, kan kay7sab lik makentch 3arfah ach kaydir howa o Maryam fach kano kaygoulo lia rah kayl3bo l hond..."
"He's young, but that doesn't excuse his selfishness.","mazal chab, walakin hadchi makaychfe3ch lih 3la dik l anania dialo."
"And most importantly, this relationship was hurting you.","o aham men hadchi, had l3ala9a kant kaDDerek."
"But you didn't answer me, how do you feel now, after leaving him?","walakin majawbtinich, kikat7essi daba, mora ma tfar9ti m3ah?"
"As I said in the beginning: great!","kifma guelt lik flowl: bikhir!"
"You know, you listen to me more than he ever did... I think that's why I've always been so attached to you.","3rfti, nta katsenneT lia 7sen menno howa... kanDen hadchi 3lach men dima nta 3ziz 3lia."
"Be careful, I'm only your psychiatrist!","7di rask, ana ghir Tbib nfsani dialk!"
"What do you think you know exactly?","achno kay7sab lik kat3rfi b DebT?"
"I know that's not true.","ana 3arf anna hadchi machi beSSa7"
"Why do you think I left him?","3lach kay7sab lik khellito?"
"It was so that we could be together.","kan hadchi bach nkono m3a b3Diyatna"
"Are you going to pretend that you haven't been doing what you've been doing these past three years that I've been in therapy with you?","wach ghadi dir rask annak makentich kaddir dakchi li kenti kaddir had tlt snin li doweztha m3ak f l3ilaj?"
"You're putting me in a difficult position.","rak kat7eTTini f wD3ia S3iba."
"I'm your psychiatrist.","ana rah Tbib nefsi dialk."
"When I listen to you and I talk to you, it's for your psychological balance, because it's my job.","fach kantSenneT lik o kanhder m3ak, rah 3la 9bel attawazon annafsi dialk, 7it hadi khdmti."
"Have you just been playing with me all this time?","wach kenti katl3b bia had lw9t kaml?"
"PRETENDING to want to know how my day was, how I felt, what I was looking for in life?","katmettel annak baghi t3rf kidaz nhari, ki kan7ess, 3layach kan9elleb f l7ayat?"
"Playing with me... you... you...","katl3b bia... nta... nta..."
"It's not a game, that's how therapy happens.","machi kanl3b, rah hakka kaykon l3ilaj annafsi."
"Look, I think you should think about what you want from your psychiatrist.","sm3i, kanDen annaho khaSS tfekri achno bghiti men 3nd Tbib nefsi dialk."
"Maybe you should go to therapy with another psychiatrist.","ymken khaSSk tmchi t3alji 3nd chi Tbib nefsi akhor."
"Because now I feel, in your mind, things are different from what they should be to make this happen.","7it kan7ess, anna f dmaghk, l omor mkhtalfa 3la kifach khaSSha tkon bach ykhdm had l3ilaj."
"Hah--I've BEEN seeing another psychiatrist!","Hah-- rah kanmchi 3nd wa7d Tbib nfsi akhor!"
"You didn't even know it!","ga3ma 3reftiha!"
"You think you're so smart... playing with me all this time... I HATE you...","kay7sab lik rask dki... katl3b bia had lmodda kamla... kan kerhek..."
"I think we're going to end this meeting now.","kayban lia nsaliw had lli9a2 daba."
"By the way, it's time for my next patient.","bl monasaba, ja lw9t dial lmriD jjay diali."
"What about you?","o nta?"
"No not all, it looks very creepy!","lla walo, kayban hadchi kaykhle3!"
"Very much so.","bezzaf ga3."
"Do you have a compass?","wach 3ndk chi bawSala?"
"We'll look on the map.","nchoufo fl khariTa."
"No I dont have a compass or a map.","lla ma3ndi la bawSala la khariTa."
"I could try my phone - but there is no reception.","njereb tilifoun - walakin makaynch rizo."
"Let's try going back the way we came","yallah n7awlo nrj3o mnin jina"
"I thought you were taking the compass...","7sab lia rah khditi m3ak lbawSala..."
"Does your phone have one?","wach tilifounk fih w7da?"
"It's got GPS, it doesn't need a connection.","fih GPS, makay7tajch conneksion."
"I've got the map.","3ndi lkhariTa."
"No, you said you were taking the compass.","lla, guelti ghadi takhd m3ak lbawSala."
"And the map.","o lkhariTa."
"We'll have to hurry, it's getting dark already","ghadi ykhSna nzerbo, bda kayTi7 Dlam"
"Okay.","wakha."
"Too bad.","lil assaf."
"We'll do as you said and try to retrace our steps.","ghadi ndiro kimma guelti o n7awlo nrj3o mnin jina."
"I've got a flashlight.","3ndi ppil."
"No, if you have the map we could see if there is a shorter route out of here.","lla, ila kant 3ndk lkhariTa an9dro nchofo wach kayna chi Tri9 9Ser tkherrejna men hna."
"It will take us hours to get back the way we came, in the dark, and through all that mud ...","ghadi ykhSona sway3 bach nrj3o mnin jina, f DDlam, o f wsT ga3 had lghiss ..."
"Sure, with the rain from this morning, the ground is very muddy.","bessa7, m3a had chta dial had Sba7, lerD mghiyssa."
"But without a compass it's hard to know which way to return even with the map.","walakin bla bawSala s3ib t3rf mnin trj3 wakha bl khariTa."
"But since we're from the south, I think we'll get through this...","walakin melli 7na men ljanoub, kanDen ghadi ndowzo hadchi..."
"Then we may be able to see the road or the village from the top.","o ghadi ymken tchouf Tri9 wla lvilaj men lfo9."
"Once we rach the road it will be easy.","ghir nwSlo Tri9 ghadi ykon hadchi sahel."
"That's a great idea.","hadi fikra momtaza."
"Going up on that hill will give us the right visibility and the village will be lit up so we can spot him easily to go in the right direction.","ila Tl3na f had lhaDaba ghadi tweli 3ndna choufa meziana o l vilaj aykon mDowwi idan ghadi nchofoh b sohoula bach n3rfo l ittijah li anmchiw fih."
"Let's go!","yallah nemchiw!"
"If we find the rocks we should be in the right place","ila l9ina l7jer ghadi nkono flblaSa lmonassiba"
"I don't know him.","ma kan3erfouch"
"I'm not sure I want to throw up rocks.","mamt2ekkedch annani baghi nrmi l7jer."
"But okay, let's go.","walakin wakha, yallah nmchiw."
"We're gonna make it.","ghadi n9Diw lgharad."
"I agree, throwing rocks around will get us nowhere.","mtaf9, zeffan bl7jer maghadi yddina l ta blaSa."
"We need to save our energy for the climb and the long walk down.","ghadi ykhSna n7tafDo 3la TTa9a dialna 3la 9bel Tel3a o nnezla."
"Absolutely.","b Tabi3t l7al."
"Yes, you're right.","ayeh, 3ndek SSe7."
"Let's be careful.","yallah nreDo balna."
"But anyway, it's nice we almost got to the village.","walakin f jami3 l7alat, hadchi mezian 9errebna l villaj."
"You look a little worried, are you ok?","katban chwia fchkel, wach nta bikhir?"
"Not good.","machi mezian."
"I don't like to fly at all on bad weather like today.","makay3jbnich nTir ga3 fach ykon ljow khayb b7al lyouma."
"It is difficult but you ve listened to all the instructions from the crew so you have done everything you can","rah s3iba walakin rah sm3ti l ga3 t3limat dial aTTa9am idan rak derti ga3 dakchi li f sTiTa3tek."
"Would distraction help?","wach y9der atterfih y3awn?"
"Instructions from the crew don't help much when you're afraid of flying!","atta3limat dial aTTa9am makat3awnch bezzaf fach katkon khayf TTir!"
"They can't do anything about the turbulence!","ma3ndhom maydiro l idTirabat!"
"I know it is difficult for you as fear and logic don't always go hand in hand","3reft annaha s3iba b nisba lik 7it lkhl3a o lojik makaytjm3och 3adatan"
"Would you like to play a card game to take your mind off it all","tbghi tl3eb alkarta bach matb9ach tfekker f hadchi?"
"Yes, actually the logic would want us to get in the head that the plane is the safest transport.","ayeh, lojik assara7a bghatna ndkhlo l rasna anna aTTiyara hia aktar wasila dial anna9l aman."
"I'll play a card game.","ghadi nl3b alkarta."
"That'll keep my mind occupied.","hadchi ghadi ykheli balk melhi."
"What games do you like?","achmen l3bat 3zaz 3lik?"
"Poker!","Poker!"
"Or why don't you suggest something","wla 3lach mat9tare7ch chi 7aja"
"Ah, I'll play poker.","Ah, nl3b poker."
"It's the only game I know!","hadi hia ll3ba lwa7ida li kan3rf"
"But tell me, you don't seem very stressed.","walakin goul lia, makatbanch lia mstrissi bezzaf."
"I ll get my cards out in a minute","ghadi njbed lkarTa diali men daba da9i9a"
"I fly quite often and just try not to think about the process too much","kanrkeb f Tyara bezzaf ghir 7awl matfekertch bezzaf fl ms2ala"
"I think the main thing is that it is difficult not to be completely in control","kanDen annaho aham 7aja hia annaho s3ib matkounch kat7ekkem f kolchi"
"It is similar to having an operation","b7al ila 3ndk chi 3amalia"
"You just have to trust the anaesthetist","mat9der illa annak tti9 fl bennaj"
"Yes, I do.","ayeh, kayna."
"The upside with an operation is that you sleep during!","lli mezian fl3amalia howa annak katkon na3es fiha!"
"Do you travel for your work or a tourist?","nta msafer 3la 9bel lkhdma dialk wla ghir tourist?"
"After our game maybe we should both have a drink and try to sleep","mora TTer7 dial lkarta kayban lia nmchiw ncherbo chi 7aja o n7awlo nne3so"
"I ll get the cards now","hani anmchi njib lkarta daba"
"Maybe we should just sleep, bye for now","wla ghir nne3so o safi, thella f rask daba"
"Yes, a good cup of coffee will do me great.","ayeh, chi kwiyess dial l9hwa ghadi ynf3ni mezian."
"Come on, let's start the game.","yallah nbdaw TTer7."
"Fatima, please let me worry about it, I want to rest.","FaTima, 3afak khelini nfekker fih, baghi nrta7."
"You're always resting.","nta dima mrta7."
"Let's go for a walk and climb that hill over there.","yallah nemchiw nDerbo chi dwira o nTl3o f dik lkodia lli temma."
"That will give you something to rest for.","hadchi ghadi y3tik b3da 3layach tsara7."
"It's very nice, you should try","zwin bezzaf, khassk tjerreb"
"I can't just lie by the pool.","man9derch nb9a gals 7da la pissin."
"Don't you have a book or crossword puzzles?","ma3ndkch chi ktab wla chi chabaka?"
"I can give you a comic book, I've brought a comic book.","n9der n3tik ktab dial arrosoum, jebt m3aya ktab dial arrosoum"
"I don't like comics.","makay3jbonich lktouba dial arrossoum."
"I have a suggestion.","3ndi 9tira7."
"If we go for the walk now I will lie quietly by the pool for 30 minutes afterwards.","ila mchina ntmechaw daba ghadi ngless b houdou2 f jenb la pissine lmoddat neS sa3a men b3d."
"I won't say a word.","maghadi ngoul 7ta kelma."
"I won't bother you at all.","maghadich nSed3ek ga3."
"Are you kidding?","wach katfella?"
"We're gonna walk for an hour and a half and then we won't even have time to get back by the pool.","ghadi ntmechaw lmoddat sa3a o neS o men b3d maghadich yb9a lina 7ta lwe9t bach nrj3o l la pissine."
"You're really amazing.","nta ra2i3 blm39ol."
"If you want us to walk tomorrow","ila bghitina ntmechchaw ghedda"
"I will only stay quiet for 20 minutes.","ghadi nb9a saket ghir 20 da9i9a Safi."
"Do we have a deal?","wach tafe9na?"
"All right.","Ayeh."
"And then, I promise, I'll be a nicer vacation companion.","o men be3d, kanwa3dek ghadi nkon morafi9 7sen fl3oTla."
"Oh thanks.","Oh chokran."
"I know I'm really amazing.","3reft ana wa3er bezzaf."
"I'll get the drinks.","ghadi njib mancherbo."
"What would you like?","achno bghiti?"
"I'll have an orange juice.","bghit 3aSir dial limoun."
"I'm sorry to be such a party pooper, but I'm really tired.","sme7 lia ma7amelch nriyeb l7efla, walakin rani 3iyan dial beSSa7."
"Ok I'll get the orange juices.","wakha anjib l3aSa2ir dial limoun."
"Then I promise to leave you alone and we will go for a shorter walk tomorrow.","o men b3d kanwa3dek ankhellik 3la ra7tek o nmchiw ghedda ntmechchaw ghir chwia."
"Shall we?","mchina?"
"I like the pool, but we're not gonna be here all afternoon!","kay3jbni la pissin, walakin maghadich nb9aw hna l3chia kamla!"
"Don't you want to take a little hike?","mabitich tmchi tDrb Tl3a Sghira ljbl?"
"The mountains are beautiful here!","jbal zinine hnaya!"
"Oh you mean go out?","Oh biti t9Sd nkherjo?"
"Yeah, yeah, we spent three hours at the pool.","ayeh, ayeh, dowzna tlata dial sway3 f lapissin."
"I'm getting a little bored, aren't you?","jani lmalal, o nta?"
"I'm in heaven.","ana nacheT."
"I don't understand how you can be happy about doing nothing for hours.","mafhmtch kifach ymken tkon fer7an o nta makaddir walo lmoddat sa3at."
"It's totally incomprehensible to me.","hadchi maymkench nfhmo ana."
"I know.","3reft."
"So you want to stay here again?","idan biti tb9a galess hna tani?"
"Take pictures.","Dreb tSawer."
"Show me later.","werrini men b3d."
"No no, I don't want to go alone, it's absurd.","lla lla, mabaghich nmchi bo7di, hadchi ma3ndo ta m3na."
"But once again, when you want to do different things, you end up doing whatever you want.","o merra khra, fach tbghi ddir 7ajat mkhtalfin, katl9a rask kaddir lli bghiti."
"Then we have a dilemma.","idan 3ndna wa7d lmochkil."
"It's always like that.","hadchi dima hakka."
"I feel like you don't give a shit about my mind.","kan7ess annaho nta mamSowwe9ch l dmaghi."
"It's hard, you know.","hadchi S3ib, frask."
"Well now I can't relax knowing you're unhappy.","iwa daba maymkench nrta7 wana 3arfk ma rach9ach lik."
"What shall we do?","achno khaSna ndiro?"
"How about a compromise?","ach ban lik f wa7d l ittifa9?"
"What do you suggest?","achno kat9tare7?"
"We could walk up that mountain and ask the wise man of the woods what he thinks we should do.","nmchiw nTl3o lfo9 dial jbel o nsowlo l7akim dial lghaba achno ban lih khaSna ndiro."
"Who's the wise man of the woods?","chkonahowa l7akim dial lghaba?"
"Well he probably doesn't exist but at least we would be up a mountain looking for him instead of having this stupid argument.","mo7al wach kayn aSlan walakin 3la l a9al ankouno fo9 jbel kan9elbo 3lih blaSt manb9aw kantna9cho."
"Let's do this.","ndiroha!"
"Thank you for listening to me for once!","chokran annak sm3ti lia merra w7da!"
"Honey, it's your birthday in exactly two months, we have to throw a party, what do you think?","7biba, 3id miladek men daba chehrayn, khaSna ndiro chi 7fla, ach ban lik?"
"Wow great idea.","wow fikra ra2i3a."
"Shall we have it at home?","ndiroha f ddar?"
"If you want!","ila bghiti!"
"How many people do you think we can invite?","ch7al dial nnass kaDen annaho n3rDo 3lihom?"
"Well I would quite like an intimate gathering, just our close friends.","makrehtch ndiro chi glissa khaSSa, ghir S7abna l9rab."
"But it's your turn to choose, it's your birthday, after all!","walakin rah noubtek bach tkhtari, rah 3id miladek, f nihayat lmaTaf!"
